乳腺癌,0,tumor:316,other:0
化疗,1,tumor:205,other:0
完,2,tumor:7,other:29
要,3,tumor:30,other:21
些,4,tumor:4,other:2
晚期,5,tumor:182,other:1
肝癌,6,tumor:215,other:0
一定,7,tumor:17,other:1
死,8,tumor:6,other:6
癌栓,9,tumor:2,other:0
几期,10,tumor:5,other:0
怎么回事,11,tumor:25,other:253
子宫内膜癌,12,tumor:45,other:0
阴道,13,tumor:3,other:2
正常,14,tumor:9,other:17
排液,15,tumor:2,other:0
有,16,tumor:107,other:143
表现,17,tumor:29,other:2
急性白血病,18,tumor:9,other:0
治疗,19,tumor:364,other:71
胃癌,20,tumor:237,other:0
术后,21,tumor:104,other:11
怎样,22,tumor:12,other:6
护理,23,tumor:10,other:0
术,24,tumor:19,other:1
前,25,tumor:34,other:43
各有,26,tumor:4,other:0
作用,27,tumor:20,other:2
乳房,28,tumor:19,other:22
切掉,29,tumor:4,other:0
就,30,tumor:10,other:45
没事,31,tumor:2,other:7
吗,32,tumor:92,other:93
请问,33,tumor:80,other:0
患者,34,tumor:113,other:3
发烧,35,tumor:9,other:64
腔内,36,tumor:15,other:0
放疗,37,tumor:344,other:0
注意事项,38,tumor:20,other:0
哪些,39,tumor:136,other:1
像不像,40,tumor:1,other:0
卵巢癌,41,tumor:66,other:1
治愈,42,tumor:53,other:4
淋巴结,43,tumor:12,other:7
旁边,44,tumor:3,other:8
长,45,tumor:16,other:72
右腿,46,tumor:1,other:4
肿,47,tumor:2,other:12
传染,48,tumor:51,other:6
我,49,tumor:20,other:75
奶奶,50,tumor:1,other:0
了,51,tumor:72,other:142
靶向,52,tumor:31,other:0
药物,53,tumor:13,other:7
宫颈癌,54,tumor:78,other:1
饮食,55,tumor:50,other:4
吃,56,tumor:128,other:264
好,57,tumor:38,other:35
是,58,tumor:159,other:167
放射性肺炎,59,tumor:9,other:0
症状,60,tumor:169,other:38
腹泻,61,tumor:10,other:6
可能,62,tumor:18,other:2
结肠癌,63,tumor:174,other:0
缺点,64,tumor:4,other:0
做,65,tumor:116,other:94
膀胱癌,66,tumor:23,other:0
全切,67,tumor:9,other:1
还,68,tumor:13,other:0
复发,69,tumor:37,other:5
转移,70,tumor:106,other:3
白血病,71,tumor:140,other:0
才,72,tumor:1,other:7
维持,73,tumor:1,other:0
生命,74,tumor:3,other:0
中期,75,tumor:28,other:0
咨询,76,tumor:29,other:24
父亲,77,tumor:11,other:6
检查,78,tumor:76,other:40
肠镜,79,tumor:1,other:0
厘米,80,tumor:4,other:4
处有,81,tumor:3,other:1
息肉,82,tumor:6,other:2
菜,83,tumor:3,other:2
花样,84,tumor:1,other:0
大便,85,tumor:14,other:22
出血,86,tumor:4,other:27
不会,87,tumor:39,other:42
癌症,88,tumor:35,other:1
放射,89,tumor:5,other:0
关键,90,tumor:1,other:0
点,91,tumor:6,other:13
鼻咽癌,92,tumor:66,other:5
最终,93,tumor:2,other:0
会,94,tumor:22,other:69
肠癌,95,tumor:27,other:0
不良反应,96,tumor:15,other:1
食道癌,97,tumor:45,other:0
早期,98,tumor:127,other:0
什么,99,tumor:291,other:200
操作步骤,100,tumor:4,other:0
血管瘤,101,tumor:56,other:3
如何,102,tumor:35,other:4
．,103,tumor:75,other:0
有时,104,tumor:8,other:4
要加,105,tumor:2,other:0
楔形板,106,tumor:2,other:0
肺癌,107,tumor:218,other:0
一月,108,tumor:2,other:3
复查,109,tumor:25,other:7
的,110,tumor:97,other:161
并发症,111,tumor:14,other:1
过,112,tumor:10,other:4
人,113,tumor:16,other:15
放射治疗,114,tumor:95,other:0
哪里,115,tumor:9,other:0
我哥,116,tumor:2,other:0
请,117,tumor:13,other:8
诊治,118,tumor:1,other:0
孙,119,tumor:2,other:0
医生,120,tumor:71,other:61
因素,121,tumor:3,other:0
影响,122,tumor:27,other:41
疗效,123,tumor:18,other:0
结肠,124,tumor:1,other:1
肝曲癌,125,tumor:1,other:0
有名,126,tumor:2,other:0
专家,127,tumor:10,other:4
预防,128,tumor:38,other:0
直肠癌,129,tumor:204,other:0
乙肝,130,tumor:5,other:4
怎么,131,tumor:47,other:46
防,132,tumor:2,other:0
慢性,133,tumor:10,other:5
粒细胞,134,tumor:5,other:0
吃格尼,135,tumor:1,other:0
不能,136,tumor:12,other:18
治,137,tumor:33,other:12
成瘾性,138,tumor:1,other:0
上,139,tumor:3,other:5
查,140,tumor:8,other:6
胃镜,141,tumor:2,other:0
说,142,tumor:22,other:65
十二指肠息肉,143,tumor:1,other:0
两只,144,tumor:2,other:6
药膏,145,tumor:2,other:0
只是,146,tumor:2,other:2
擦,147,tumor:3,other:7
报告单,148,tumor:2,other:1
确诊,149,tumor:27,other:1
肿瘤,150,tumor:134,other:4
B超,151,tumor:4,other:1
肝,152,tumor:29,other:1
治疗方案,153,tumor:6,other:1
注意,154,tumor:43,other:6
退,155,tumor:5,other:6
费,156,tumor:2,other:0
如图,157,tumor:2,other:1
描述,158,tumor:1,other:0
大夫,159,tumor:13,other:9
恶性黑色素瘤,160,tumor:14,other:0
高龄,161,tumor:3,other:0
六年,162,tumor:2,other:1
下肢,163,tumor:2,other:3
一个,164,tumor:14,other:38
欲方,165,tumor:1,other:0
骨癌,166,tumor:34,other:0
病人,167,tumor:65,other:5
水果,168,tumor:8,other:0
可以,169,tumor:30,other:24
灵芝,170,tumor:2,other:1
汤,171,tumor:3,other:0
喝,172,tumor:15,other:48
适宜,173,tumor:6,other:0
自行,174,tumor:2,other:0
消退,175,tumor:2,other:2
皮肤癌,176,tumor:38,other:0
诊断,177,tumor:29,other:8
期间,178,tumor:31,other:12
临床表现,179,tumor:6,other:0
特需,180,tumor:1,other:0
门诊,181,tumor:5,other:1
几楼,182,tumor:2,other:0
食管癌,183,tumor:13,other:1
